Class,PAPSS/Sat/CysND,PAPSS/CysC,CysH,CysJJ/Sir
Iainarchaeia,0,0,0,0
Nitrososphaeria,1,1,1,0
MGII,0,0,0,0
Woesearchaeia,0,0,0,0
ABY1,0,0,0,0
Gracilibacteria,0,0,0,0
Microgenomatia,0,0,0,0
Alphaproteobacteria,1,1,1,1
Gammaproteobacteria,1,1,0,1
Babeliae,0,0,0,0
Bacteroidia,1,1,0,0
Bdellovibrionia,1,0,0,0
Cloacimonadia,0,0,0,0
Dehalococcoidia,1,1,0,0
Desulfobacteria,1,0,0,0
Elusimicrobia,0,0,0,0
Marinisomatia,0,0,0,0
Phycisphaerae,0,1,0,0
UBA1144,0,0,0,0
UBA2968,1,1,1,1
Verrucomicrobiae,1,1,1,1
ZB3,0,0,0,0
