Class,1_NarGHI/NapAB,2_NirK/NirS,3_NorBC,4_NosZ
Iainarchaeia,0,0,0,0
Nitrososphaeria,0,0,0,0
MGII,1,1,0,0
Woesearchaeia,0,0,0,0
ABY1,0,0,0,0
Gracilibacteria,0,0,0,0
Microgenomatia,0,0,0,0
Alphaproteobacteria,1,1,0,0
Gammaproteobacteria,1,0,0,0
Babeliae,0,0,0,0
Bacteroidia,1,1,0,0
Bdellovibrionia,0,0,0,0
Cloacimonadia,0,0,0,0
Dehalococcoidia,0,0,0,0
Desulfobacteria,1,0,1,0
Elusimicrobia,0,0,0,0
Marinisomatia,1,0,0,0
Phycisphaerae,1,0,0,0
UBA1144,0,0,0,0
UBA2968,1,0,0,0
Verrucomicrobiae,0,0,0,0
ZB3,0,0,0,0
